part,ebay_avg,google_avg,ebay_url,google_url,image_url,ai_valid
Control Arm,180.58,,https://www.ebay.com/sch/i.html?_nkw=2021+HYUNDAI+Sonata+Control+Arm+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2021+HYUNDAI+Sonata+Control+Arm+used,,True
Shock Absorber,140.66,,https://www.ebay.com/sch/i.html?_nkw=2021+HYUNDAI+Sonata+Shock+Absorber+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2021+HYUNDAI+Sonata+Shock+Absorber+used,,True
Strut,138.33,,https://www.ebay.com/sch/i.html?_nkw=2021+HYUNDAI+Sonata+Strut+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2021+HYUNDAI+Sonata+Strut+used,,True
Coil Spring,102.81,,https://www.ebay.com/sch/i.html?_nkw=2021+HYUNDAI+Sonata+Coil+Spring+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2021+HYUNDAI+Sonata+Coil+Spring+used,,True
Spindle,205.35,,https://www.ebay.com/sch/i.html?_nkw=2021+HYUNDAI+Sonata+Spindle+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2021+HYUNDAI+Sonata+Spindle+used,,True
Ball Joint,180.89,,https://www.ebay.com/sch/i.html?_nkw=2021+HYUNDAI+Sonata+Ball+Joint+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2021+HYUNDAI+Sonata+Ball+Joint+used,,True
Sway Bar,83.09,,https://www.ebay.com/sch/i.html?_nkw=2021+HYUNDAI+Sonata+Sway+Bar+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2021+HYUNDAI+Sonata+Sway+Bar+used,,True
Steering Rack,159.3,,https://www.ebay.com/sch/i.html?_nkw=2021+HYUNDAI+Sonata+Steering+Rack+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2021+HYUNDAI+Sonata+Steering+Rack+used,,True
Front Bumper,320.0,,https://www.ebay.com/sch/i.html?_nkw=2021+HYUNDAI+Sonata+Front+Bumper+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2021+HYUNDAI+Sonata+Front+Bumper+used,,True
Fender,235.88,,https://www.ebay.com/sch/i.html?_nkw=2021+HYUNDAI+Sonata+Fender+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2021+HYUNDAI+Sonata+Fender+used,,True
